,Fiyat,Oda,Alan,Yas,Konum,Kat
526,1136,2,15,45,Adalar,0
527,217,2,366,27,Adalar,0
528,771,0,1,60,Adalar,13
529,1305,0,366,71,Adalar,13
530,2147,0,49,40,Adalar,13
531,2008,4,61,0,Adalar,14
532,2,0,131,0,Adalar,13
533,1196,0,353,39,Adalar,15
534,1196,0,353,39,Adalar,15
535,1305,0,366,71,Adalar,13
536,1685,0,101,43,Adalar,13
537,1773,1,36,33,Adalar,11
538,1773,1,36,33,Adalar,11
539,34,0,66,41,Adalar,13
540,313,0,41,33,Adalar,14
541,1738,0,11,38,Adalar,11
542,34,0,151,71,Adalar,15
543,1963,0,101,38,Adalar,14
544,279,1,46,54,Adalar,13
545,853,0,332,60,Adalar,4
546,753,1,347,0,Adalar,18
547,1468,1,51,78,Adalar,0
548,415,4,81,48,Adalar,3
549,2008,4,61,0,Adalar,14
550,2008,4,61,0,Adalar,14
551,1773,1,36,33,Adalar,11
552,2125,1,1,48,Arnavutköy,13
553,1488,0,51,37,Arnavutköy,5
554,2125,1,1,48,Arnavutköy,13
555,1223,0,4,0,Arnavutköy,13
556,1488,0,51,37,Arnavutköy,5
557,451,0,31,33,Arnavutköy,15
558,1488,0,184,0,Arnavutköy,17
559,1223,0,4,0,Arnavutköy,13
560,1766,0,366,27,Arnavutköy,0
561,1264,0,45,4,Arnavutköy,15
562,881,0,41,0,Arnavutköy,13
563,1766,0,366,27,Arnavutköy,0
564,1068,4,16,4,Arnavutköy,0
565,951,4,46,43,Arnavutköy,11
566,951,4,46,43,Arnavutköy,11
567,1238,0,121,0,Arnavutköy,13
568,516,0,21,43,Arnavutköy,0
569,951,4,46,43,Arnavutköy,11
570,1305,3,16,12,Arnavutköy,0
571,1766,0,366,27,Arnavutköy,0
572,588,0,31,48,Arnavutköy,0
573,351,1,31,43,Arnavutköy,15
574,97,1,76,12,Arnavutköy,14
575,444,1,347,1,Arnavutköy,0
576,588,1,36,60,Arnavutköy,13
577,998,1,121,0,Arnavutköy,14
578,1897,1,153,12,Arnavutköy,13
579,1897,1,153,12,Arnavutköy,13
580,1149,1,81,0,Arnavutköy,14
581,1561,0,61,0,Arnavutköy,15
582,902,1,21,49,Arnavutköy,0
583,1354,0,86,60,Arnavutköy,14
584,1354,0,86,60,Arnavutköy,14
585,686,0,197,60,Arnavutköy,10
586,686,0,197,60,Arnavutköy,10
587,881,1,1,75,Arnavutköy,0
588,414,3,315,60,Arnavutköy,1
589,1382,1,66,2,Arnavutköy,5
590,1124,0,71,0,Arnavutköy,13
591,1240,1,116,60,Arnavutköy,14
592,1264,2,141,60,Arnavutköy,13
593,853,0,61,0,Arnavutköy,13
594,902,1,21,49,Arnavutköy,0
595,1611,0,61,60,Arnavutköy,13
596,444,1,347,1,Arnavutköy,0
597,97,1,76,12,Arnavutköy,14
598,148,0,1,4,Arnavutköy,14
599,549,0,324,60,Arnavutköy,2
600,1444,0,1,43,Arnavutköy,13
601,1444,0,1,43,Arnavutköy,13
602,649,1,366,23,Arnavutköy,0
603,1113,1,27,37,Arnavutköy,8
604,1113,1,27,37,Arnavutköy,8
605,64,4,86,23,Arnavutköy,14
606,1113,1,27,37,Arnavutköy,8
607,2125,1,1,48,Arnavutköy,13
608,1341,0,31,24,Arnavutköy,14
609,674,1,103,2,Arnavutköy,17
610,589,0,322,49,Arnavutköy,13
611,1124,1,31,24,Arnavutköy,11
612,708,0,366,60,Arnavutköy,11
613,625,1,1,0,Arnavutköy,0
614,444,1,347,1,Arnavutköy,0
615,2027,0,51,78,Arnavutköy,11
616,1864,1,1,0,Arnavutköy,0
617,881,0,66,4,Arnavutköy,15
618,444,1,347,1,Arnavutköy,0
619,444,1,347,1,Arnavutköy,0
620,444,1,347,1,Arnavutköy,0
621,1841,1,17,0,Arnavutköy,14
622,834,3,366,32,Arnavutköy,0
623,834,0,51,48,Arnavutköy,11
624,930,0,21,4,Arnavutköy,13
625,753,0,21,78,Arnavutköy,11
626,1136,0,111,0,Arnavutköy,15
627,1578,0,46,33,Arnavutköy,11
628,753,0,21,27,Arnavutköy,15
629,753,0,21,27,Arnavutköy,15
630,753,0,21,27,Arnavutköy,15
631,1578,1,26,0,Arnavutköy,13
632,1578,0,46,33,Arnavutköy,11
633,951,1,41,0,Arnavutköy,15
634,2059,1,11,60,Arnavutköy,18
635,1578,0,46,33,Arnavutköy,11
636,878,1,347,39,Arnavutköy,1
637,1750,1,31,23,Arnavutköy,3
638,1750,1,31,23,Arnavutköy,3
639,1264,1,155,48,Arnavutköy,14
640,540,0,366,0,Arnavutköy,11
641,1180,1,46,71,Arnavutköy,13
642,96,0,295,43,Arnavutköy,13
643,1264,1,126,0,Arnavutköy,14
644,1068,0,366,60,Arnavutköy,14
645,834,0,61,60,Arnavutköy,14
646,827,0,41,32,Arnavutköy,16
647,827,0,41,32,Arnavutköy,16
648,1401,0,61,33,Arnavutköy,13
649,2147,0,151,32,Arnavutköy,17
650,2147,0,151,32,Arnavutköy,17
651,1401,0,61,33,Arnavutköy,13
652,1068,0,366,60,Arnavutköy,14
653,853,1,315,37,Arnavutköy,0
654,1401,0,61,33,Arnavutköy,13
655,1068,0,366,60,Arnavutköy,14
656,629,0,36,38,Arnavutköy,11
657,629,0,36,38,Arnavutköy,11
658,1317,0,151,0,Arnavutköy,15
659,508,0,325,37,Arnavutköy,16
660,1104,1,332,0,Arnavutköy,13
661,148,0,41,0,Arnavutköy,18
662,1897,0,160,0,Arnavutköy,14
663,549,0,11,0,Arnavutköy,14
664,351,0,360,38,Arnavutköy,14
665,351,0,360,38,Arnavutköy,14
666,1495,0,83,0,Arnavutköy,1
667,1925,2,51,17,Arnavutköy,0
668,1925,2,51,17,Arnavutköy,0
669,1495,0,83,0,Arnavutköy,1
670,581,0,160,60,Arnavutköy,19
671,549,1,339,12,Arnavutköy,19
672,1444,1,51,0,Arnavutköy,13
673,1454,1,31,0,Arnavutköy,15
674,1789,1,363,0,Arnavutköy,14
675,1789,1,363,0,Arnavutköy,14
676,1444,1,51,0,Arnavutköy,13
677,549,1,360,60,Arnavutköy,11
678,811,0,339,0,Arnavutköy,0
679,148,0,41,0,Arnavutköy,18
680,811,0,339,0,Arnavutköy,0
681,434,0,26,24,Arnavutköy,11
682,1897,0,160,0,Arnavutköy,14
683,1068,0,16,0,Arnavutköy,0
684,1578,0,31,32,Arnavutköy,0
685,1149,1,56,0,Arnavutköy,11
686,1149,1,56,0,Arnavutköy,11
687,1196,1,36,4,Arnavutköy,18
688,649,0,353,58,Arnavutköy,0
689,1444,0,367,2,Arnavutköy,14
690,1149,1,56,0,Arnavutköy,11
691,1196,1,36,4,Arnavutköy,18
692,1196,1,36,4,Arnavutköy,18
693,971,1,356,27,Arnavutköy,16
694,1264,0,1,49,Arnavutköy,13
695,434,0,26,24,Arnavutköy,11
696,1264,0,1,49,Arnavutköy,13
697,811,0,339,0,Arnavutköy,0
698,2125,0,56,0,Arnavutköy,0
699,1104,1,332,0,Arnavutköy,13
700,1297,0,31,2,Arnavutköy,11
701,47,0,149,27,Arnavutköy,5
702,961,0,21,48,Arnavutköy,0
