,Fiyat,Oda,Alan,Yas,Konum,Kat
35248,745,1,341,0,Eyüpsultan,1
35249,1401,4,36,39,Eyüpsultan,0
35250,451,0,347,37,Eyüpsultan,0
35251,1809,0,11,37,Eyüpsultan,0
35252,956,0,1,2,Eyüpsultan,0
35253,956,0,1,2,Eyüpsultan,0
35254,1897,0,353,37,Eyüpsultan,0
35255,1374,4,360,1,Eyüpsultan,0
35256,378,4,61,75,Eyüpsultan,0
35257,378,4,61,75,Eyüpsultan,0
35258,1850,4,56,78,Eyüpsultan,0
35259,1401,4,36,39,Eyüpsultan,0
35260,1264,4,11,0,Eyüpsultan,0
35261,388,2,61,8,Eyüpsultan,0
35262,1669,0,61,18,Eyüpsultan,0
35263,1382,0,41,0,Eyüpsultan,0
35264,1382,0,41,0,Eyüpsultan,0
35265,1897,0,69,2,Eyüpsultan,0
35266,1488,1,36,27,Eyüpsultan,0
35267,1488,1,36,27,Eyüpsultan,0
35268,1305,4,101,48,Eyüpsultan,0
35269,1068,2,21,0,Eyüpsultan,0
35270,1305,4,101,48,Eyüpsultan,0
35271,1330,0,121,60,Eyüpsultan,0
35272,745,1,341,0,Eyüpsultan,1
35273,853,0,46,43,Eyüpsultan,0
35274,511,0,56,0,Eyüpsultan,0
35275,511,0,56,0,Eyüpsultan,0
35276,853,0,366,48,Eyüpsultan,0
35277,1536,0,8,60,Eyüpsultan,0
35278,1024,0,347,4,Eyüpsultan,0
35279,951,1,360,78,Eyüpsultan,0
35280,650,0,2,0,Eyüpsultan,1
35281,853,0,11,38,Eyüpsultan,0
35282,1669,0,61,18,Eyüpsultan,0
35283,853,0,46,43,Eyüpsultan,0
35284,2008,0,111,18,Eyüpsultan,0
35285,1211,0,11,0,Eyüpsultan,0
35286,2027,0,91,0,Eyüpsultan,0
35287,1681,0,60,48,Eyüpsultan,1
35288,1149,1,81,0,Eyüpsultan,0
35289,1238,4,1,60,Eyüpsultan,0
35290,1272,2,344,1,Eyüpsultan,1
35291,1422,0,121,38,Eyüpsultan,0
35292,991,1,31,38,Eyüpsultan,0
35293,1432,0,360,37,Eyüpsultan,0
35294,650,1,121,75,Eyüpsultan,1
35295,927,1,31,8,Eyüpsultan,0
35296,1024,0,1,78,Eyüpsultan,0
35297,162,1,366,46,Eyüpsultan,0
35298,1048,0,319,75,Eyüpsultan,0
35299,1113,0,11,16,Eyüpsultan,0
35300,1113,0,11,16,Eyüpsultan,0
35301,1113,0,11,16,Eyüpsultan,0
35302,1149,1,81,0,Eyüpsultan,0
35303,549,1,332,60,Eyüpsultan,0
35304,1162,1,11,12,Eyüpsultan,0
35305,1992,1,21,0,Eyüpsultan,1
35306,1982,1,23,0,Eyüpsultan,0
35307,1790,1,146,0,Eyüpsultan,0
35308,2027,0,91,0,Eyüpsultan,0
35309,516,0,366,27,Eyüpsultan,0
35310,516,0,366,27,Eyüpsultan,0
35311,2027,0,91,0,Eyüpsultan,0
35312,2027,0,91,0,Eyüpsultan,0
35313,753,0,6,0,Eyüpsultan,0
35314,728,4,1,17,Eyüpsultan,0
35315,1968,4,21,0,Eyüpsultan,0
35316,1814,0,36,23,Eyüpsultan,0
35317,516,1,315,0,Eyüpsultan,0
35318,2125,0,61,2,Eyüpsultan,0
35319,1968,4,21,0,Eyüpsultan,0
35320,2041,0,36,0,Eyüpsultan,0
35321,10,1,11,0,Eyüpsultan,0
35322,708,0,21,16,Eyüpsultan,0
35323,588,0,347,2,Eyüpsultan,0
35324,1921,4,46,0,Eyüpsultan,0
35325,97,4,69,48,Eyüpsultan,1
